UiD,DADA_Id,Plate,PosNum,PosWell,Samples,#Pots,Lines,Genotypes,Background,Fractions,Tray,Group,Rep
361,P02.bc92,2,12,D,61R,61,Line 10,"pht1,1;1,4/pPHT1,4:PHT1,4 GFP # 2-1",WS,Root,3,8,2
239,P02.bc93,2,12,E,17L,17,Line 2,Si81,Col-0,Leaf,2,3,2
225,P02.bc94,2,12,F,3L,3,Col-0,Col-0,Col-0,Leaf,1,1,2
398,P02.bc95,2,12,G,20S,20,Line 3,"pht1,1;1,4/pPHT1,4:PHT1,4;S258A - GFP #2-3",WS,Soil,1,11,2
327,P03.bc1,3,1,A,27R,27,Line 4,"pht1,4/S1-L11_138643",Col-0,Root,4,15,2
335,P03.bc2,3,1,B,35R,35,Line 5,"pht1,1;1,4",WS,Root,1,13,2
351,P03.bc3,3,1,C,51R,51,Line 8,"pht1,1",Col-0,Root,3,12,2
389,P03.bc4,3,1,D,11S,11,WS,WS,WS,Soil,3,2,2
314,P03.bc5,3,1,E,14R,14,Line 2,Si81,Col-0,Root,4,3,2
458,P03.bc6,3,1,F,80S,80,Bulk soil,Bulk soil,Bulk soil,Soil,4,17,2
406,P03.bc7,3,1,G,28S,28,Line 4,"pht1,4/S1-L11_138643",Col-0,Soil,4,15,2
403,P03.bc8,3,1,H,25S,25,Line 4,"pht1,4/S1-L11_138643",Col-0,Soil,1,15,2
273,P03.bc9,3,2,A,51L,51,Line 8,"pht1,1",Col-0,Leaf,3,12,2
311,P03.bc10,3,2,B,11R,11,WS,WS,WS,Root,3,2,2
420,P03.bc11,3,2,C,42S,42,Line 6,Si81psl1,Col-0,Soil,1,4,2
357,P03.bc12,3,2,D,57R,57,Line 9,"pht1,4",WS,Root,2,14,2
319,P03.bc13,3,2,E,19R,19,Line 3,"pht1,1;1,4/pPHT1,4:PHT1,4;S258A - GFP #2-3",WS,Root,1,11,2
235,P03.bc14,3,2,F,13L,13,Line 2,Si81,Col-0,Leaf,1,3,2
325,P03.bc15,3,2,G,25R,25,Line 4,"pht1,4/S1-L11_138643",Col-0,Root,1,15,2
283,P03.bc16,3,2,H,61L,61,Line 10,"pht1,1;1,4/pPHT1,4:PHT1,4 GFP # 2-1",WS,Leaf,3,8,2
453,P03.bc17,3,3,A,75S,75,Line 12,"pht1,1;1,4/pPHT1,4:PHT1,4;S258A - GFP #1-2",WS,Soil,2,10,2
309,P03.bc18,3,3,B,9R,9,WS,WS,WS,Root,3,2,2
395,P03.bc19,3,3,C,17S,17,Line 2,Si81,Col-0,Soil,2,3,2
331,P03.bc20,3,3,D,31R,31,Line 5,"pht1,1;1,4",WS,Root,3,13,2
349,P03.bc21,3,3,E,49R,49,Line 8,"pht1,1",Col-0,Root,3,12,2
366,P03.bc22,3,3,F,66R,66,Line 10,"pht1,1;1,4/pPHT1,4:PHT1,4 GFP # 2-1",WS,Root,2,8,2
337,P03.bc23,3,3,G,37R,37,Line 6,Si81psl1,Col-0,Root,2,4,2
305,P03.bc24,3,3,H,5R,5,Col-0,Col-0,Col-0,Root,4,1,2
297,P03.bc25,3,4,A,75L,75,Line 12,"pht1,1;1,4/pPHT1,4:PHT1,4;S258A - GFP #1-2",WS,Leaf,2,10,2
409,P03.bc26,3,4,B,31S,31,Line 5,"pht1,1;1,4",WS,Soil,3,13,2
270,P03.bc27,3,4,C,48L,48,Line 7,"pht1,4/SAIL_1225_G08",Col-0,Leaf,1,16,2
381,P03.bc28,3,4,D,3S,3,Col-0,Col-0,Col-0,Soil,1,1,2
326,P03.bc29,3,4,E,26R,26,Line 4,"pht1,4/S1-L11_138643",Col-0,Root,1,15,2
417,P03.bc30,3,4,F,39S,39,Line 6,Si81psl1,Col-0,Soil,4,4,2
244,P03.bc31,3,4,G,22L,22,Line 3,"pht1,1;1,4/pPHT1,4:PHT1,4;S258A - GFP #2-3",WS,Leaf,1,11,2
365,P03.bc32,3,4,H,65R,65,Line 10,"pht1,1;1,4/pPHT1,4:PHT1,4 GFP # 2-1",WS,Root,2,8,2
397,P03.bc33,3,5,A,19S,19,Line 3,"pht1,1;1,4/pPHT1,4:PHT1,4;S258A - GFP #2-3",WS,Soil,1,11,2
394,P03.bc34,3,5,B,16S,16,Line 2,Si81,Col-0,Soil,4,3,2
405,P03.bc35,3,5,C,27S,27,Line 4,"pht1,4/S1-L11_138643",Col-0,Soil,4,15,2
454,P03.bc36,3,5,D,76S,76,Line 12,"pht1,1;1,4/pPHT1,4:PHT1,4;S258A - GFP #1-2",WS,Soil,3,10,2
332,P03.bc37,3,5,E,32R,32,Line 5,"pht1,1;1,4",WS,Root,3,13,2
459,P03.bc38,3,5,F,81S,81,Bulk soil,Bulk soil,Bulk soil,Soil,3,17,2
252,P03.bc39,3,5,G,30L,30,Line 4,"pht1,4/S1-L11_138643",Col-0,Leaf,4,15,2
444,P03.bc40,3,5,H,66S,66,Line 10,"pht1,1;1,4/pPHT1,4:PHT1,4 GFP # 2-1",WS,Soil,2,8,2
424,P03.bc41,3,6,A,46S,46,Line 7,"pht1,4/SAIL_1225_G08",Col-0,Soil,2,16,2
399,P03.bc42,3,6,B,21S,21,Line 3,"pht1,1;1,4/pPHT1,4:PHT1,4;S258A - GFP #2-3",WS,Soil,6,11,2
292,P03.bc43,3,6,C,70L,70,Line 11,"pht1,1;1,4/pPHT1,4:PHT1,4 GFP # 3-1",WS,Leaf,1,9,2
429,P03.bc44,3,6,D,51S,51,Line 8,"pht1,1",Col-0,Soil,3,12,2
447,P03.bc45,3,6,E,69S,69,Line 11,"pht1,1;1,4/pPHT1,4:PHT1,4 GFP # 3-1",WS,Soil,4,9,2
419,P03.bc46,3,6,F,41S,41,Line 6,Si81psl1,Col-0,Soil,2,4,2
387,P03.bc47,3,6,G,9S,9,WS,WS,WS,Soil,3,2,2
